,agriprod,Unit,Country,Year,Value,Description
79,Dairy,T,ES,2012,19227.0,Raw milk
80,Dairy,T,ES,2013,16410.0,Raw milk
81,Dairy,T,ES,2014,19757.0,Raw milk
82,Dairy,T,ES,2015,24087.0,Raw milk
83,Dairy,T,ES,2016,25129.0,Raw milk
84,Dairy,T,ES,2017,28476.0,Raw milk
85,Dairy,T,ES,2018,42006.0,Raw milk
86,Dairy,T,ES,2019,56164.0,Raw milk
87,Dairy,T,ES,2020,68574.0,Raw milk
88,Dairy,T,ES,2021,77203.0,Raw milk
338,Dairy,T,ES,2012,11333.0,Raw milk
339,Dairy,T,ES,2013,12638.0,Raw milk
340,Dairy,T,ES,2014,11593.0,Raw milk
341,Dairy,T,ES,2015,13002.0,Raw milk
342,Dairy,T,ES,2016,15146.0,Raw milk
343,Dairy,T,ES,2017,18672.0,Raw milk
344,Dairy,T,ES,2018,27837.0,Raw milk
345,Dairy,T,ES,2019,40450.0,Raw milk
346,Dairy,T,ES,2020,48545.0,Raw milk
347,Dairy,T,ES,2021,53467.0,Raw milk
572,Dairy,T,ES,2012,2311.0,Raw milk
573,Dairy,T,ES,2013,1071.0,Raw milk
574,Dairy,T,ES,2014,2151.0,Raw milk
575,Dairy,T,ES,2015,3531.0,Raw milk
576,Dairy,T,ES,2016,11435.0,Raw milk
577,Dairy,T,ES,2017,17233.0,Raw milk
578,Dairy,T,ES,2018,21682.0,Raw milk
579,Dairy,T,ES,2019,26344.0,Raw milk
580,Dairy,T,ES,2020,26898.0,Raw milk
581,Dairy,T,ES,2021,27515.0,Raw milk
