DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C10,BG,2018,8943456,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C10,BG,2019,17705577,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C10,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C101,BG,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C101,BG,2019,656273,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C101,MT,2014,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C101,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C101,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C101_PRC,BG,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C101_PRC,BG,2019,585958,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C101_PRC,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C101_PRC,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C101_PRS,BG,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C101_PRS,BG,2019,70315,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C101_PRS,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C101_PRS,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C102,BG,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C102,BG,2019,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C102,MT,2014,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C102,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C102,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C102_PRC,BG,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C102_PRC,BG,2019,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C102_PRC,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C102_PRC,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C102_PRS,BG,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C102_PRS,BG,2019,0,
