DATAFLOW,LAST UPDATE,freq,animals,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,AT,2015,15697,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,AT,2016,18161,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,AT,2017,17273,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,AT,2018,17752,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,AT,2019,18678,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,AT,2020,18955,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,BE,2014,1239,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,BE,2015,1362,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,BE,2016,1382,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,BE,2017,1556,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,BE,2018,1486,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,BE,2019,1577,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,BE,2020,1606,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,BG,2012,9,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,BG,2014,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,BG,2015,212,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,BG,2016,307,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,BG,2017,501,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,BG,2018,232,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,BG,2019,262,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,BG,2020,242,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CH,2012,7879,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CH,2013,8104,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CH,2014,8638,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CH,2015,8758,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CH,2016,9040,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CH,2017,9683,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CH,2018,10577,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CH,2019,11200,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CH,2020,11318,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CY,2012,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CY,2014,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CY,2015,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CY,2018,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CY,2019,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CY,2020,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CZ,2012,5835,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CZ,2013,6191,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CZ,2014,7253,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CZ,2015,7250,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CZ,2016,7297,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CZ,2017,8741,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CZ,2018,9339,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CZ,2019,9727,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,CZ,2020,9923,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DE,2013,32,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DE,2020,41862,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DK,2012,238,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DK,2013,145,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DK,2014,125,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DK,2015,89,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DK,2016,120,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DK,2017,182,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DK,2018,158,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DK,2019,162,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DK,2020,434,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2012,1806,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2013,1958,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2014,1837,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2015,1471,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2016,1735,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2017,1795,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2018,1711,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2019,1612,
