agriprod,Unit,Country,Year,Value,Description
Dairy,T,AT,2014,443486,Raw milk
Dairy,T,AT,2015,440924,Raw milk
Dairy,T,AT,2016,552389,Raw milk
Dairy,T,AT,2017,612629,Raw milk
Dairy,T,AT,2018,635751,Raw milk
Dairy,T,AT,2019,642340,Raw milk
Dairy,T,AT,2020,649368,Raw milk
Dairy,T,BE,2016,92429,Raw milk
Dairy,T,BE,2017,112145,Raw milk
Dairy,T,BE,2018,120077,Raw milk
Dairy,T,BE,2019,125000,Raw milk
Dairy,T,BE,2020,135683,Raw milk
Dairy,T,BG,2012,0,Raw milk
Dairy,T,BG,2013,2194,Raw milk
Dairy,T,BG,2014,2486,Raw milk
Dairy,T,BG,2015,7347,Raw milk
Dairy,T,BG,2016,8639,Raw milk
Dairy,T,BG,2017,8531,Raw milk
Dairy,T,BG,2018,5280,Raw milk
Dairy,T,BG,2019,11072,Raw milk
Dairy,T,BG,2020,11674,Raw milk
Dairy,T,BG,2021,10651,Raw milk
Dairy,T,CY,2013,879,Raw milk
Dairy,T,CY,2014,1612,Raw milk
Dairy,T,CY,2015,1433,Raw milk
Dairy,T,CY,2016,1696,Raw milk
Dairy,T,CY,2017,2341,Raw milk
Dairy,T,CY,2018,3706,Raw milk
Dairy,T,CY,2019,4763,Raw milk
Dairy,T,CY,2020,4401,Raw milk
Dairy,T,CY,2021,4106,Raw milk
Dairy,T,CZ,2012,31049,Raw milk
Dairy,T,CZ,2013,32374,Raw milk
Dairy,T,CZ,2014,30058,Raw milk
Dairy,T,CZ,2015,32759,Raw milk
Dairy,T,CZ,2016,32916,Raw milk
Dairy,T,CZ,2017,32375,Raw milk
Dairy,T,CZ,2018,33433,Raw milk
Dairy,T,CZ,2019,33578,Raw milk
Dairy,T,CZ,2020,32167,Raw milk
Dairy,T,CZ,2021,32547,Raw milk
Dairy,T,DE,2012,670927,Raw milk
Dairy,T,DE,2013,682000,Raw milk
Dairy,T,DE,2014,708055,Raw milk
Dairy,T,DE,2015,736065,Raw milk
Dairy,T,DE,2016,794717,Raw milk
Dairy,T,DE,2017,939080,Raw milk
Dairy,T,DE,2018,1117821,Raw milk
Dairy,T,DE,2019,1184742,Raw milk
Dairy,T,DE,2020,1234238,Raw milk
Dairy,T,DE,2021,1271853,Raw milk
Dairy,T,DK,2012,479100,Raw milk
Dairy,T,DK,2013,481670,Raw milk
Dairy,T,DK,2014,487100,Raw milk
Dairy,T,DK,2015,483350,Raw milk
Dairy,T,DK,2016,516131,Raw milk
Dairy,T,DK,2017,594000,Raw milk
Dairy,T,DK,2018,689600,Raw milk
Dairy,T,DK,2019,708400,Raw milk
Dairy,T,DK,2020,727716,Raw milk
Dairy,T,EE,2012,12268,Raw milk
Dairy,T,EE,2013,10266,Raw milk
Dairy,T,EE,2014,9396,Raw milk
Dairy,T,EE,2015,8765,Raw milk
Dairy,T,EE,2016,10650,Raw milk
Dairy,T,EE,2017,7186,Raw milk
Dairy,T,EE,2018,7386,Raw milk
Dairy,T,EE,2019,8211,Raw milk
Dairy,T,EE,2020,8879,Raw milk
Dairy,T,EE,2021,9042,Raw milk
Dairy,T,EL,2012,22606,Raw milk
Dairy,T,EL,2013,27383,Raw milk
Dairy,T,EL,2014,34812,Raw milk
Dairy,T,EL,2015,56476,Raw milk
Dairy,T,EL,2016,41578,Raw milk
Dairy,T,EL,2017,57289,Raw milk
Dairy,T,EL,2018,75722,Raw milk
Dairy,T,EL,2019,104938,Raw milk
Dairy,T,EL,2020,130887,Raw milk
Dairy,T,ES,2012,19227,Raw milk
Dairy,T,ES,2013,16410,Raw milk
Dairy,T,ES,2014,19757,Raw milk
Dairy,T,ES,2015,24087,Raw milk
Dairy,T,ES,2016,25129,Raw milk
Dairy,T,ES,2017,28476,Raw milk
Dairy,T,ES,2018,42006,Raw milk
Dairy,T,ES,2019,56164,Raw milk
Dairy,T,ES,2020,68574,Raw milk
Dairy,T,ES,2021,77203,Raw milk
Dairy,T,FI,2012,37569,Raw milk
Dairy,T,FI,2013,42450,Raw milk
Dairy,T,FI,2014,48583,Raw milk
Dairy,T,FI,2015,55800,Raw milk
Dairy,T,FI,2016,56786,Raw milk
Dairy,T,FI,2017,64460,Raw milk
Dairy,T,FI,2018,71028,Raw milk
Dairy,T,FI,2019,76214,Raw milk
Dairy,T,FI,2020,81378,Raw milk
Dairy,T,FR,2012,475155,Raw milk
Dairy,T,FR,2013,522722,Raw milk
Dairy,T,FR,2014,567516,Raw milk
Dairy,T,FR,2015,608684,Raw milk
Dairy,T,FR,2016,603774,Raw milk
Dairy,T,FR,2017,678849,Raw milk
Dairy,T,FR,2018,909336,Raw milk
Dairy,T,FR,2019,1075631,Raw milk
Dairy,T,FR,2020,1219283,Raw milk
Dairy,T,HR,2013,2865,Raw milk
Dairy,T,HR,2014,1782,Raw milk
Dairy,T,HR,2015,5987,Raw milk
Dairy,T,HR,2016,5163,Raw milk
Dairy,T,HR,2017,5782,Raw milk
Dairy,T,HR,2018,3094,Raw milk
Dairy,T,HR,2019,1476,Raw milk
Dairy,T,HR,2020,1869,Raw milk
Dairy,T,HR,2021,871,Raw milk
Dairy,T,HU,2012,9381,Raw milk
Dairy,T,HU,2013,9422,Raw milk
Dairy,T,HU,2014,8856,Raw milk
Dairy,T,HU,2015,11534,Raw milk
Dairy,T,HU,2016,13759,Raw milk
Dairy,T,HU,2017,13487,Raw milk
Dairy,T,HU,2018,4721,Raw milk
Dairy,T,HU,2019,4985,Raw milk
Dairy,T,HU,2020,3209,Raw milk
Dairy,T,HU,2021,6313,Raw milk
Dairy,T,IE,2013,7012,Raw milk
Dairy,T,IE,2014,7703,Raw milk
Dairy,T,IE,2015,5978,Raw milk
Dairy,T,IE,2016,7335,Raw milk
Dairy,T,IE,2017,9035,Raw milk
Dairy,T,IE,2018,17791,Raw milk
Dairy,T,IE,2019,11037,Raw milk
Dairy,T,IE,2020,10722,Raw milk
Dairy,T,IE,2021,14010,Raw milk
Dairy,T,IS,2018,402,Raw milk
Dairy,T,IS,2019,379,Raw milk
Dairy,T,IS,2020,390,Raw milk
Dairy,T,IT,2012,203522,Raw milk
Dairy,T,IT,2013,334376,Raw milk
Dairy,T,IT,2014,551360,Raw milk
Dairy,T,IT,2015,340128,Raw milk
Dairy,T,IT,2016,396074,Raw milk
Dairy,T,IT,2017,448184,Raw milk
Dairy,T,IT,2020,587914,Raw milk
Dairy,T,LT,2012,48413,Raw milk
