,agriprod,Unit,Country,Year,Value,Description
1340,Dairy,T,AT,2014,443486.0,
1341,Dairy,T,AT,2015,440924.0,
1342,Dairy,T,AT,2016,552389.0,
1343,Dairy,T,AT,2017,612629.0,
1344,Dairy,T,AT,2018,635751.0,
1345,Dairy,T,AT,2019,642340.0,
1346,Dairy,T,AT,2020,649368.0,
1347,Dairy,T,BE,2016,92429.0,
1348,Dairy,T,BE,2017,112145.0,
1349,Dairy,T,BE,2018,120077.0,
1350,Dairy,T,BE,2019,125000.0,
1351,Dairy,T,BE,2020,135683.0,
1352,Dairy,T,BG,2012,0.0,
1353,Dairy,T,BG,2013,2194.0,
1354,Dairy,T,BG,2014,2486.0,
1355,Dairy,T,BG,2015,7347.0,
1356,Dairy,T,BG,2016,8639.0,
1357,Dairy,T,BG,2017,8531.0,
1358,Dairy,T,BG,2018,5280.0,
1359,Dairy,T,BG,2019,11072.0,
1360,Dairy,T,BG,2020,11674.0,
1361,Dairy,T,BG,2021,10651.0,
1362,Dairy,T,CY,2013,879.0,
1363,Dairy,T,CY,2014,1612.0,
1364,Dairy,T,CY,2015,1433.0,
1365,Dairy,T,CY,2016,1696.0,
1366,Dairy,T,CY,2017,2341.0,
1367,Dairy,T,CY,2018,3706.0,
1368,Dairy,T,CY,2019,4763.0,
1369,Dairy,T,CY,2020,4401.0,
1370,Dairy,T,CY,2021,4106.0,
1371,Dairy,T,CZ,2012,31049.0,
1372,Dairy,T,CZ,2013,32374.0,
1373,Dairy,T,CZ,2014,30058.0,
1374,Dairy,T,CZ,2015,32759.0,
1375,Dairy,T,CZ,2016,32916.0,
1376,Dairy,T,CZ,2017,32375.0,
1377,Dairy,T,CZ,2018,33433.0,
1378,Dairy,T,CZ,2019,33578.0,
1379,Dairy,T,CZ,2020,32167.0,
1380,Dairy,T,CZ,2021,32547.0,
1381,Dairy,T,DE,2012,670927.0,
1382,Dairy,T,DE,2013,682000.0,
1383,Dairy,T,DE,2014,708055.0,
1384,Dairy,T,DE,2015,736065.0,
1385,Dairy,T,DE,2016,794717.0,
1386,Dairy,T,DE,2017,939080.0,
1387,Dairy,T,DE,2018,1117821.0,
1388,Dairy,T,DE,2019,1184742.0,
1389,Dairy,T,DE,2020,1234238.0,
1390,Dairy,T,DE,2021,1271853.0,
1391,Dairy,T,DK,2012,479100.0,
1392,Dairy,T,DK,2013,481670.0,
1393,Dairy,T,DK,2014,487100.0,
1394,Dairy,T,DK,2015,483350.0,
1395,Dairy,T,DK,2016,516131.0,
1396,Dairy,T,DK,2017,594000.0,
1397,Dairy,T,DK,2018,689600.0,
1398,Dairy,T,DK,2019,708400.0,
1399,Dairy,T,DK,2020,727716.0,
1400,Dairy,T,EE,2012,12268.0,
1401,Dairy,T,EE,2013,10266.0,
1402,Dairy,T,EE,2014,9396.0,
1403,Dairy,T,EE,2015,8765.0,
1404,Dairy,T,EE,2016,10650.0,
1405,Dairy,T,EE,2017,7186.0,
1406,Dairy,T,EE,2018,7386.0,
1407,Dairy,T,EE,2019,8211.0,
1408,Dairy,T,EE,2020,8879.0,
1409,Dairy,T,EE,2021,9042.0,
1410,Dairy,T,EL,2012,22606.0,
1411,Dairy,T,EL,2013,27383.0,
1412,Dairy,T,EL,2014,34812.0,
1413,Dairy,T,EL,2015,56476.0,
1414,Dairy,T,EL,2016,41578.0,
1415,Dairy,T,EL,2017,57289.0,
1416,Dairy,T,EL,2018,75722.0,
1417,Dairy,T,EL,2019,104938.0,
1418,Dairy,T,EL,2020,130887.0,
1419,Dairy,T,ES,2012,19227.0,
1420,Dairy,T,ES,2013,16410.0,
1421,Dairy,T,ES,2014,19757.0,
1422,Dairy,T,ES,2015,24087.0,
1423,Dairy,T,ES,2016,25129.0,
1424,Dairy,T,ES,2017,28476.0,
1425,Dairy,T,ES,2018,42006.0,
1426,Dairy,T,ES,2019,56164.0,
1427,Dairy,T,ES,2020,68574.0,
1428,Dairy,T,ES,2021,77203.0,
1429,Dairy,T,FI,2012,37569.0,
1430,Dairy,T,FI,2013,42450.0,
1431,Dairy,T,FI,2014,48583.0,
1432,Dairy,T,FI,2015,55800.0,
1433,Dairy,T,FI,2016,56786.0,
1434,Dairy,T,FI,2017,64460.0,
1435,Dairy,T,FI,2018,71028.0,
1436,Dairy,T,FI,2019,76214.0,
1437,Dairy,T,FI,2020,81378.0,
1438,Dairy,T,FR,2012,475155.0,
1439,Dairy,T,FR,2013,522722.0,
