,agriprod,Unit,Country,Year,Value,Description,0,1,2,3
0,Meat,T,BE,2016,5502.0,Meat of livestock,0.0,0.0,0.0,1.0
1,Meat,T,BE,2017,7321.0,Meat of livestock,0.0,0.0,0.0,1.0
2,Meat,T,BE,2018,8708.0,Meat of livestock,0.0,0.0,0.0,1.0
3,Meat,T,BE,2019,9601.0,Meat of livestock,0.0,0.0,0.0,1.0
4,Meat,T,BE,2020,10364.0,Meat of livestock,0.0,0.0,0.0,1.0
5,Meat,T,BG,2012,0.0,Meat of livestock,0.0,0.0,0.0,1.0
6,Meat,T,BG,2013,0.0,Meat of livestock,0.0,0.0,0.0,1.0
7,Meat,T,BG,2014,0.0,Meat of livestock,0.0,0.0,0.0,1.0
8,Meat,T,BG,2015,0.0,Meat of livestock,0.0,0.0,0.0,1.0
9,Meat,T,BG,2016,373.0,Meat of livestock,0.0,0.0,0.0,1.0
10,Meat,T,BG,2017,212.0,Meat of livestock,0.0,0.0,0.0,1.0
11,Meat,T,BG,2018,969.0,Meat of livestock,0.0,0.0,0.0,1.0
12,Meat,T,BG,2019,187.0,Meat of livestock,0.0,0.0,0.0,1.0
13,Meat,T,BG,2020,151.0,Meat of livestock,0.0,0.0,0.0,1.0
14,Meat,T,CY,2013,10.0,Meat of livestock,0.0,0.0,0.0,1.0
15,Meat,T,CY,2014,15.0,Meat of livestock,0.0,0.0,0.0,1.0
16,Meat,T,CY,2015,19.0,Meat of livestock,0.0,0.0,0.0,1.0
17,Meat,T,CY,2016,22.0,Meat of livestock,0.0,0.0,0.0,1.0
18,Meat,T,CY,2017,23.0,Meat of livestock,0.0,0.0,0.0,1.0
19,Meat,T,CY,2018,28.0,Meat of livestock,0.0,0.0,0.0,1.0
20,Meat,T,CY,2019,17.0,Meat of livestock,0.0,0.0,0.0,1.0
21,Meat,T,CY,2020,13.0,Meat of livestock,0.0,0.0,0.0,1.0
22,Meat,T,CZ,2012,10097.0,Meat of livestock,0.0,0.0,0.0,1.0
23,Meat,T,CZ,2013,10329.0,Meat of livestock,0.0,0.0,0.0,1.0
24,Meat,T,CZ,2014,6674.0,Meat of livestock,0.0,0.0,0.0,1.0
