agriprod,Unit,Country,Year,Value,Description,Dairy,Eggs,Honey,Meat
Meat,T,BE,2016,5502,Meat of livestock,0,0,0,1
Meat,T,BE,2017,7321,Meat of livestock,0,0,0,1
Meat,T,BE,2018,8708,Meat of livestock,0,0,0,1
Meat,T,BE,2019,9601,Meat of livestock,0,0,0,1
Meat,T,BE,2020,10364,Meat of livestock,0,0,0,1
Meat,T,BG,2012,0,Meat of livestock,0,0,0,1
Meat,T,BG,2013,0,Meat of livestock,0,0,0,1
Meat,T,BG,2014,0,Meat of livestock,0,0,0,1
Meat,T,BG,2015,0,Meat of livestock,0,0,0,1
Meat,T,BG,2016,373,Meat of livestock,0,0,0,1
Meat,T,BG,2017,212,Meat of livestock,0,0,0,1
Meat,T,BG,2018,969,Meat of livestock,0,0,0,1
Meat,T,BG,2019,187,Meat of livestock,0,0,0,1
Meat,T,BG,2020,151,Meat of livestock,0,0,0,1
Meat,T,CY,2013,10,Meat of livestock,0,0,0,1
Meat,T,CY,2014,15,Meat of livestock,0,0,0,1
Meat,T,CY,2015,19,Meat of livestock,0,0,0,1
Meat,T,CY,2016,22,Meat of livestock,0,0,0,1
Meat,T,CY,2017,23,Meat of livestock,0,0,0,1
Meat,T,CY,2018,28,Meat of livestock,0,0,0,1
Meat,T,CY,2019,17,Meat of livestock,0,0,0,1
Meat,T,CY,2020,13,Meat of livestock,0,0,0,1
Meat,T,CZ,2012,10097,Meat of livestock,0,0,0,1
Meat,T,CZ,2013,10329,Meat of livestock,0,0,0,1
Meat,T,CZ,2014,6674,Meat of livestock,0,0,0,1
Meat,T,CZ,2015,6719,Meat of livestock,0,0,0,1
Meat,T,CZ,2016,6752,Meat of livestock,0,0,0,1
Meat,T,CZ,2017,6697,Meat of livestock,0,0,0,1
Meat,T,CZ,2018,7291,Meat of livestock,0,0,0,1
Meat,T,CZ,2019,7867,Meat of livestock,0,0,0,1
Meat,T,CZ,2020,8197,Meat of livestock,0,0,0,1
Meat,T,DK,2012,14500,Meat of livestock,0,0,0,1
Meat,T,DK,2013,14229,Meat of livestock,0,0,0,1
Meat,T,DK,2015,14305,Meat of livestock,0,0,0,1
Meat,T,DK,2016,16818,Meat of livestock,0,0,0,1
Meat,T,DK,2017,16254,Meat of livestock,0,0,0,1
Meat,T,DK,2018,6643,Meat of livestock,0,0,0,1
Meat,T,DK,2019,17835,Meat of livestock,0,0,0,1
Meat,T,DK,2020,18224,Meat of livestock,0,0,0,1
Meat,T,EE,2012,1400,Meat of livestock,0,0,0,1
Meat,T,EE,2013,1634,Meat of livestock,0,0,0,1
Meat,T,EE,2014,1804,Meat of livestock,0,0,0,1
Meat,T,EE,2015,2221,Meat of livestock,0,0,0,1
Meat,T,EE,2016,2209,Meat of livestock,0,0,0,1
Meat,T,EE,2017,2878,Meat of livestock,0,0,0,1
Meat,T,EE,2018,3404,Meat of livestock,0,0,0,1
Meat,T,EE,2019,2636,Meat of livestock,0,0,0,1
Meat,T,EE,2020,5024,Meat of livestock,0,0,0,1
Meat,T,EL,2012,814,Meat of livestock,0,0,0,1
Meat,T,EL,2013,521,Meat of livestock,0,0,0,1
Meat,T,EL,2014,610,Meat of livestock,0,0,0,1
Meat,T,EL,2015,874,Meat of livestock,0,0,0,1
Meat,T,EL,2016,675,Meat of livestock,0,0,0,1
Meat,T,EL,2017,801,Meat of livestock,0,0,0,1
Meat,T,EL,2018,839,Meat of livestock,0,0,0,1
Meat,T,EL,2019,977,Meat of livestock,0,0,0,1
Meat,T,EL,2020,925,Meat of livestock,0,0,0,1
Meat,T,ES,2012,26661,Meat of livestock,0,0,0,1
