,memberStateCode,memberStateName,beginDate,endDate,month,monthName,price,unit,year,product
0,AT,1,01/12/2022,31/12/2022,12,Dec,59.20,100,2022,Raw milk
1,BE,2,01/12/2022,31/12/2022,12,Dec,59.82,100,2022,Raw milk
2,BG,3,01/12/2022,31/12/2022,12,Dec,51.51,100,2022,Raw milk
3,CY,5,01/12/2022,31/12/2022,12,Dec,64.42,100,2022,Raw milk
4,CZ,6,01/12/2022,31/12/2022,12,Dec,51.70,100,2022,Raw milk
5,DK,7,01/12/2022,31/12/2022,12,Dec,61.45,100,2022,Raw milk
6,EE,8,01/12/2022,31/12/2022,12,Dec,54.50,100,2022,Raw milk
7,FI,11,01/12/2022,31/12/2022,12,Dec,55.60,100,2022,Raw milk
8,FR,12,01/12/2022,31/12/2022,12,Dec,48.92,100,2022,Raw milk
9,DE,13,01/12/2022,31/12/2022,12,Dec,61.58,100,2022,Raw milk
10,EL,14,01/12/2022,31/12/2022,12,Dec,60.00,100,2022,Raw milk
11,HU,15,01/12/2022,31/12/2022,12,Dec,52.34,100,2022,Raw milk
12,IT,17,01/12/2022,31/12/2022,12,Dec,55.35,100,2022,Raw milk
13,LV,18,01/12/2022,31/12/2022,12,Dec,49.07,100,2022,Raw milk
14,LT,19,01/12/2022,31/12/2022,12,Dec,51.15,100,2022,Raw milk
15,NL,22,01/12/2022,31/12/2022,12,Dec,62.25,100,2022,Raw milk
16,PL,23,01/12/2022,31/12/2022,12,Dec,58.77,100,2022,Raw milk
17,PT,24,01/12/2022,31/12/2022,12,Dec,54.44,100,2022,Raw milk
18,RO,25,01/12/2022,31/12/2022,12,Dec,58.93,100,2022,Raw milk
19,SK,26,01/12/2022,31/12/2022,12,Dec,46.17,100,2022,Raw milk
20,SI,27,01/12/2022,31/12/2022,12,Dec,55.67,100,2022,Raw milk
21,ES,28,01/12/2022,31/12/2022,12,Dec,56.99,100,2022,Raw milk
22,AT,1,01/11/2022,30/11/2022,11,Nov,58.88,100,2022,Raw milk
23,BE,2,01/11/2022,30/11/2022,11,Nov,58.29,100,2022,Raw milk
24,BG,3,01/11/2022,30/11/2022,11,Nov,51.23,100,2022,Raw milk
25,HR,4,01/11/2022,30/11/2022,11,Nov,48.41,100,2022,Raw milk
26,CY,5,01/11/2022,30/11/2022,11,Nov,64.42,100,2022,Raw milk
27,CZ,6,01/11/2022,30/11/2022,11,Nov,52.89,100,2022,Raw milk
28,DK,7,01/11/2022,30/11/2022,11,Nov,61.43,100,2022,Raw milk
29,EE,8,01/11/2022,30/11/2022,11,Nov,53.21,100,2022,Raw milk
30,FI,11,01/11/2022,30/11/2022,11,Nov,55.58,100,2022,Raw milk
31,FR,12,01/11/2022,30/11/2022,11,Nov,48.85,100,2022,Raw milk
32,DE,13,01/11/2022,30/11/2022,11,Nov,61.58,100,2022,Raw milk
33,EL,14,01/11/2022,30/11/2022,11,Nov,59.61,100,2022,Raw milk
34,HU,15,01/11/2022,30/11/2022,11,Nov,52.51,100,2022,Raw milk
35,IE,16,01/11/2022,30/11/2022,11,Nov,69.34,100,2022,Raw milk
